Date,Prev Close,Open,High,Low,Last,Close,Volume
27-11-2007,440,770,1050,770,959,962.9,27294366
28-11-2007,962.9,984,990,874,885,893.9,4581338
29-11-2007,893.9,909,914.75,841,887,884.2,5124121
30-11-2007,884.2,890,958,890,929,921.55,4609762
03-12-2007,921.55,939.75,995,922,980,969.3,2977470
04-12-2007,969.3,985,1056,976,1049,1041.45,4849250
05-12-2007,1041.45,1061,1099.5,1050,1084,1082.45,2848209
06-12-2007,1082.45,1089,1109.7,1051,1090.1,1081.3,1749516
07-12-2007,1081.3,1100,1134,1078,1100,1102.4,2247904
10-12-2007,1102.4,1110,1110,1061.1,1073.55,1075.4,1012350
11-12-2007,1075.4,1081,1089,1041,1046,1047.65,810464
12-12-2007,1047.65,1032,1065,1016,1036.9,1036.8,744799
13-12-2007,1036.8,1040,1150,1030.25,1131.15,1129.95,3067687
14-12-2007,1129.95,1139.9,1140,1101.1,1107,1110.5,1070737
17-12-2007,1110.5,1140,1168,1021.5,1052,1044.25,1404955
18-12-2007,1044.25,1045,1109.9,1031.55,1085,1074.95,1226984
19-12-2007,1074.95,1091,1116,1046.3,1078,1066.9,845666
20-12-2007,1066.9,1083.5,1083.5,1051,1067,1060.2,623288
24-12-2007,1060.2,1095,1192,1085.25,1160,1156.8,2060892
26-12-2007,1156.8,1175,1214,1148,1212,1199.9,1467031
27-12-2007,1199.9,1215,1240,1204,1209,1211.65,977495
28-12-2007,1211.65,1189.4,1274,1175,1270,1249.1,1164138
31-12-2007,1249.1,1263.35,1295,1261,1268,1268.8,737249
01-01-2008,1268.8,1279,1319,1263.7,1308,1296.85,491348
02-01-2008,1296.85,1310.25,1324,1270,1300.15,1307.45,703815
03-01-2008,1307.45,1305,1314.7,1261.15,1267.15,1275.8,505058
04-01-2008,1275.8,1278.8,1294.8,1233,1239.9,1240.35,550795
07-01-2008,1240.35,1240,1278.9,1215,1233,1227.25,630963
08-01-2008,1227.25,1240,1255,1185,1202,1204.8,530499
09-01-2008,1204.8,1200,1210,1151,1181,1180.25,627507
10-01-2008,1180.25,1185,1199.8,1110,1118,1121.55,438806
11-01-2008,1121.55,1128,1130,1063,1096,1085.85,616938
14-01-2008,1085.85,1082.4,1082.4,1031.1,1035,1035.15,835916
15-01-2008,1035.15,1045.6,1078.7,1036.05,1057,1049.55,830493
16-01-2008,1049.55,1046,1064,1000,1038.3,1030.4,816188
17-01-2008,1030.4,1050,1053.5,1011,1014.95,1020.9,336003
18-01-2008,1020.9,1010,1072,974.9,995,994.6,676854
21-01-2008,994.6,995,1005,795.7,853,825.05,788623
22-01-2008,825.05,700,810,660.05,739,735.55,546161
23-01-2008,735.55,760,881.9,760,862.2,857,535462
24-01-2008,857,875,935,812,814.7,814.15,511017
25-01-2008,814.15,820,883,820,866,865.7,404045
28-01-2008,865.7,835,835,783.2,822,820.8,467052
29-01-2008,820.8,840,860,820.05,840,840.75,220070
30-01-2008,840.75,849.8,864,822.25,834,830.45,286190
31-01-2008,830.45,831,849.9,812.55,836.6,837.65,194300
01-02-2008,837.65,831.65,852.3,820,826,825.35,204391
04-02-2008,825.35,847.9,872.4,840,859,856.1,280230
05-02-2008,856.1,856,857,830,834.65,834.3,162093
06-02-2008,834.3,803,824.9,780,809,807.5,193260
07-02-2008,807.5,825,830,792,795.9,796.25,212932
08-02-2008,796.25,810,830,765.15,786,784.05,285025
11-02-2008,784.05,785,785,695,699,711.2,223955
12-02-2008,711.2,725,734.95,655.6,689,681.3,303409
13-02-2008,681.3,815.9,815.9,664,678,670.95,214900
14-02-2008,670.95,680,714,680,710,709.8,269032
15-02-2008,709.8,700,763.7,681.25,729,728.75,353049
18-02-2008,728.75,735,775,735,772,771.6,342580
19-02-2008,771.6,779,786.9,760.2,767,763.9,137412
20-02-2008,763.9,750,760,720,740,732.1,197489
21-02-2008,732.1,762,762,730.1,738.9,737.6,125558
22-02-2008,737.6,723,737,715,724.5,724,81070
25-02-2008,724,725.05,758.9,702.3,707,707.65,152803
26-02-2008,707.65,725,744,713,735,735.8,251269
27-02-2008,735.8,749.7,783.4,741,744,746.4,305320
28-02-2008,746.4,740,754.9,725.05,740,737.75,112491
29-02-2008,737.75,738,761,725.4,730,735.65,203872
03-03-2008,735.65,725,725,692.3,698.1,699.25,182510
04-03-2008,699.25,705,708.95,642,671.05,669.25,400996
05-03-2008,669.25,668,672,636,638,640.9,263263
07-03-2008,640.9,630,630,577,608,609.75,452949
10-03-2008,609.75,600,610,508.15,600,601.15,235966
11-03-2008,601.15,593,635.75,575,621.5,623.7,226830
12-03-2008,623.7,640,649.95,591,592,602.9,210739
13-03-2008,602.9,585,600,562.05,569,566.3,165515
14-03-2008,566.3,569,577,554.05,555,561,157189
17-03-2008,561,549,549,507,507.3,511.45,201577
18-03-2008,511.45,505,525,490,500.95,502.4,257617
19-03-2008,502.4,530,530,495,495.05,497.75,196021
24-03-2008,497.75,502,505.9,465,470.1,469.2,542915
25-03-2008,469.2,475,505,465.05,495.25,497.15,746747
26-03-2008,497.15,502,522,490.25,501.15,504.05,278415
27-03-2008,504.05,496.1,521,486,517,516,359725
28-03-2008,516,515,619.2,515,619.2,619.2,1546339
31-03-2008,619.2,625,673.4,570,577,578.75,2134980
01-04-2008,578.75,585,617,584.75,596,592.2,728839
02-04-2008,592.2,623.8,633.4,601,608.1,608.35,867551
03-04-2008,608.35,611,621.4,592.1,598.05,602.3,780026
04-04-2008,602.3,614,614,585,590.65,593.2,386898
07-04-2008,593.2,595,605.3,570,591.8,593.4,466172
08-04-2008,593.4,625,625,585.1,588,589.65,217730
09-04-2008,589.65,580.5,623,575.15,598.9,597.75,507422
10-04-2008,597.75,615,615,586,611,608.6,495019
11-04-2008,608.6,610,620,605,610.75,610.2,301522
15-04-2008,610.2,605,650,600,649.6,642.55,732463
16-04-2008,642.55,657,662,632,641,637.4,440549
17-04-2008,637.4,648.8,659.4,621.05,627.9,626.35,442496
21-04-2008,626.35,640,654.95,633.1,646,645.15,257175
22-04-2008,645.15,640,673.4,638.15,671.9,665.85,574697
23-04-2008,665.85,675,677.9,652.4,668.3,666.7,362552
24-04-2008,666.7,668,677.85,658.1,662,665.25,255828
25-04-2008,665.25,670,718,659.1,717,712.15,1510614
28-04-2008,712.15,725,741.1,703,737,736.45,1072156
29-04-2008,736.45,738.25,748,711.1,740,740.6,600573
30-04-2008,740.6,740,774,715,755.05,760.15,731082
02-05-2008,760.15,766.25,788,763.65,766.05,766.65,607475
05-05-2008,766.65,681.7,781.7,681.7,752.55,754.4,248543
06-05-2008,754.4,730,767.9,725.1,761,757.9,418643
07-05-2008,757.9,762,774.5,745,769,768.5,295381
08-05-2008,768.5,760,785,752,783.95,781.5,422630
09-05-2008,781.5,770.45,803.75,770,778.8,783.75,657740
12-05-2008,783.75,719.2,814.8,719.2,810.7,807.55,1245745
13-05-2008,807.55,818.4,827.5,786.15,793.9,792.85,469124
14-05-2008,792.85,790,802.25,782,789,789.2,168459
15-05-2008,789.2,795,808.9,785,787,790.85,139664
16-05-2008,790.85,795,800,771.2,775.75,775.6,184836
20-05-2008,775.6,776,904.7,770,890,884.05,3561137
21-05-2008,884.05,894.55,926,869.8,900,901.35,2516620
22-05-2008,901.35,897.8,914.95,868.05,885.5,884.4,1339876
23-05-2008,884.4,890,904,846,851,853.65,691813
26-05-2008,853.65,848.45,905.4,829,902,887.45,1011808
27-05-2008,887.45,909.9,926,860.4,864,873.05,1280280
28-05-2008,873.05,873,883,835,840.1,841,617676
29-05-2008,841,851.15,867.9,829.15,834.05,834.85,447906
30-05-2008,834.85,843.1,847.7,760,788,790.4,851156
02-06-2008,790.4,795.5,827,760.05,761,765.8,849170
03-06-2008,765.8,741,769.9,733.35,740.3,739.4,532850
04-06-2008,739.4,742,755.7,692.25,704,702.2,383088
05-06-2008,702.2,701,708.9,635.1,656,657.55,715963
06-06-2008,657.55,669.9,681.25,635,636.5,639.6,568394
09-06-2008,639.6,620,626,591.3,618.05,612.6,461334
10-06-2008,612.6,599.2,618.85,580,589,589.25,517227
11-06-2008,589.25,598,631.4,595.2,606.9,607.1,768360
12-06-2008,607.1,597.9,604.4,570,588,593.5,506097
13-06-2008,593.5,593.5,614.9,592.2,596,600.3,511556
16-06-2008,600.3,610,639.8,606.05,621,620.9,962136
17-06-2008,620.9,621,634.75,612,632,630.6,346842
18-06-2008,630.6,630.6,659,625.2,631,628.9,694398
19-06-2008,628.9,618,654,611.55,652,649.15,749162
20-06-2008,649.15,653.85,660.9,620,622,624.25,716333
23-06-2008,624.25,620,620,562.05,581,571.05,839833
24-06-2008,571.05,573.55,590,563.95,571.05,568.7,673358
25-06-2008,568.7,560,563,541.1,547.65,549.7,652878
26-06-2008,549.7,586,586,525,525.1,528.45,658769
27-06-2008,528.45,505,513.85,488.35,499.05,496,680667
30-06-2008,496,496,510.1,488.8,491.95,494.15,382763
01-07-2008,494.15,500,505,475,476,478.15,265866
02-07-2008,478.15,439,509.95,388.1,479.7,481.3,1975470
03-07-2008,481.3,471,472,424,435,443.35,1008223
04-07-2008,443.35,449,459.9,433.1,452,450.4,531265
07-07-2008,450.4,455.5,494,455.5,467,467.35,544362
08-07-2008,467.35,457,478.9,425,458.1,459.45,597851
09-07-2008,459.45,479,551.35,471,551.35,551.35,2351043
10-07-2008,551.35,560,602.95,560,566.1,567.75,3422840
11-07-2008,567.75,570,580,538.15,545,546.35,937650
14-07-2008,546.35,540,572,528.35,532,534.9,1110512
15-07-2008,534.9,530,531,485,486,488,832634
16-07-2008,488,475,506,470.1,477.5,478.2,739517
17-07-2008,478.2,499,505,463,480,478.75,601137
18-07-2008,478.75,485,493.4,461,465,467.4,861368
21-07-2008,467.4,470,488.8,460,473,476.35,682113
22-07-2008,476.35,485,525.9,475,514.9,516.45,1505465
23-07-2008,516.45,539.95,568.8,539.95,552.1,553.55,889636
24-07-2008,553.55,563.3,593,555.05,581.8,584.6,1134530
25-07-2008,584.6,575,610.9,551.15,586,587.8,1464874
28-07-2008,587.8,580,606.95,580,587,588.45,746465
29-07-2008,588.45,580,617,540.1,554.95,554.7,2243341
30-07-2008,554.7,570,585,555.05,567,563.9,1003847
31-07-2008,563.9,571,585,565,576,578,715753
01-08-2008,578,570,584,555.55,577,576.25,658570
04-08-2008,576.25,576,597.9,571.15,583.1,585.05,527239
05-08-2008,585.05,585.05,600,580,589,587,522809
06-08-2008,587,600.5,605.4,570,578,576.65,494133
07-08-2008,576.65,576.65,590,571.3,572,573.75,510311
08-08-2008,573.75,570,590.7,565,581,581.55,565925
